date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:12:00	414/414	---MCZ	200	added ('OK')	application/javascript	etag:W/%2208882de63a61a44e10dba0a358d29158%22	https://userapp.zyrosite.com/v21/js/chunk-2d0a5533.92852ef0.js	/Users/benitoloaiza/websites/omega/userapp.zyrosite.com/v21/js/chunk-2d0a5533.92852ef0.js	(from https://omegatournaments.zyrosite.com/)
02:12:01	1584/1584	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c29eb7cf5c9f34cddf0b5709336702a1%22	https://userapp.zyrosite.com/v21/js/chunk-2d0aa216.692fd51c.js	/Users/benitoloaiza/websites/omega/userapp.zyrosite.com/v21/js/chunk-2d0aa216.692fd51c.js	(from https://omegatournaments.zyrosite.com/)
02:12:02	532/532	---MCZ	200	added ('OK')	application/javascript	etag:W/%2210ed08718cf38b521607f22bac554433%22	https://userapp.zyrosite.com/v21/js/chunk-2d0aa976.4b04aee8.js	/Users/benitoloaiza/websites/omega/userapp.zyrosite.com/v21/js/chunk-2d0aa976.4b04aee8.js	(from https://omegatournaments.zyrosite.com/)
02:12:02	525/525	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e872f9ead890669b705fc133f22f618c%22	https://userapp.zyrosite.com/v21/js/chunk-2d0ab339.030f9783.js	/Users/benitoloaiza/websites/omega/userapp.zyrosite.com/v21/js/chunk-2d0ab339.030f9783.js	(from https://omegatournaments.zyrosite.com/)
02:12:03	1189/1189	---MCZ	200	added ('OK')	application/javascript	etag:W/%229c6e1df6353d158b520a44010cc3f7d7%22	https://userapp.zyrosite.com/v21/js/chunk-2d0abe7c.f9c0922f.js	/Users/benitoloaiza/websites/omega/userapp.zyrosite.com/v21/js/chunk-2d0abe7c.f9c0922f.js	(from https://omegatournaments.zyrosite.com/)
02:12:05	997/997	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b5e1c9b958c47e4196d89c3a8f6f557b%22	https://userapp.zyrosite.com/v21/js/chunk-2d0ac384.8e4a7abb.js	/Users/benitoloaiza/websites/omega/userapp.zyrosite.com/v21/js/chunk-2d0ac384.8e4a7abb.js	(from https://omegatournaments.zyrosite.com/)
02:12:06	986/986	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c001db104e920c2fe713f9c645df5411%22	https://userapp.zyrosite.com/v21/js/chunk-2d0aeb1d.d1ebdad8.js	/Users/benitoloaiza/websites/omega/userapp.zyrosite.com/v21/js/chunk-2d0aeb1d.d1ebdad8.js	(from https://omegatournaments.zyrosite.com/)
02:12:06	579/579	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d17705cb84c50e7384307e9c694b828b%22	https://userapp.zyrosite.com/v21/js/chunk-2d0aeb26.4a152b46.js	/Users/benitoloaiza/websites/omega/userapp.zyrosite.com/v21/js/chunk-2d0aeb26.4a152b46.js	(from https://omegatournaments.zyrosite.com/)
02:12:07	848/848	---MCZ	200	added ('OK')	application/javascript	etag:W/%22abc0693a96abe5b4d13eee6478607cfe%22	https://userapp.zyrosite.com/v21/js/chunk-2d0af2cc.719acbf7.js	/Users/benitoloaiza/websites/omega/userapp.zyrosite.com/v21/js/chunk-2d0af2cc.719acbf7.js	(from https://omegatournaments.zyrosite.com/)
02:12:08	726/726	---MCZ	200	added ('OK')	application/javascript	etag:W/%2212300c360ed19bbf80d4d9581a0d274b%22	https://userapp.zyrosite.com/v21/js/chunk-2d0af698.b38536fc.js	/Users/benitoloaiza/websites/omega/userapp.zyrosite.com/v21/js/chunk-2d0af698.b38536fc.js	(from https://omegatournaments.zyrosite.com/)
02:12:09	532/532	---MCZ	200	added ('OK')	application/javascript	etag:W/%2229dbd5b828e66c3707f530a5921abbe4%22	https://userapp.zyrosite.com/v21/js/chunk-2d0af809.5d4fe1f8.js	/Users/benitoloaiza/websites/omega/userapp.zyrosite.com/v21/js/chunk-2d0af809.5d4fe1f8.js	(from https://omegatournaments.zyrosite.com/)
02:12:10	443/443	---MCZ	200	added ('OK')	application/javascript	etag:W/%2206ef611c1bc8f725eea8ff7a84739784%22	https://userapp.zyrosite.com/v21/js/chunk-2d0b15f6.105a2dbc.js	/Users/benitoloaiza/websites/omega/userapp.zyrosite.com/v21/js/chunk-2d0b15f6.105a2dbc.js	(from https://omegatournaments.zyrosite.com/)
02:12:11	833/833	---MCZ	200	added ('OK')	application/javascript	etag:W/%22901229f48fe2766e9814678a24068b17%22	https://userapp.zyrosite.com/v21/js/chunk-2d0b2363.954ea543.js	/Users/benitoloaiza/websites/omega/userapp.zyrosite.com/v21/js/chunk-2d0b2363.954ea543.js	(from https://omegatournaments.zyrosite.com/)
02:12:12	916/916	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c5a0bc1950bf8483c70a9f6f7e815f3b%22	https://userapp.zyrosite.com/v21/js/chunk-2d0b25e5.c8ddd045.js	/Users/benitoloaiza/websites/omega/userapp.zyrosite.com/v21/js/chunk-2d0b25e5.c8ddd045.js	(from https://omegatournaments.zyrosite.com/)
02:12:13	1021/1021	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d3bdc09bf3a7f21076d6188054ed951%22	https://userapp.zyrosite.com/v21/js/chunk-2d0b273b.1c4a26d1.js	/Users/benitoloaiza/websites/omega/userapp.zyrosite.com/v21/js/chunk-2d0b273b.1c4a26d1.js	(from https://omegatournaments.zyrosite.com/)
02:12:14	955/955	---MCZ	200	added ('OK')	application/javascript	etag:W/%2285c1ff3ef3e40d6ab155ca1a47ea7992%22	https://userapp.zyrosite.com/v21/js/chunk-2d0b2b28.7dd31ad8.js	/Users/benitoloaiza/websites/omega/userapp.zyrosite.com/v21/js/chunk-2d0b2b28.7dd31ad8.js	(from https://omegatournaments.zyrosite.com/)
02:12:15	530/530	---MCZ	200	added ('OK')	application/javascript	etag:W/%229d791e96071bcc0930ae358766b7b6a6%22	https://userapp.zyrosite.com/v21/js/chunk-2d0b2b44.25af400b.js	/Users/benitoloaiza/websites/omega/userapp.zyrosite.com/v21/js/chunk-2d0b2b44.25af400b.js	(from https://omegatournaments.zyrosite.com/)
02:12:16	504/504	---MCZ	200	added ('OK')	application/javascript	etag:W/%226f8523e5359afc6e52c1703b4a12d78e%22	https://userapp.zyrosite.com/v21/js/chunk-2d0b2d1a.0ec7ffe5.js	/Users/benitoloaiza/websites/omega/userapp.zyrosite.com/v21/js/chunk-2d0b2d1a.0ec7ffe5.js	(from https://omegatournaments.zyrosite.com/)
02:12:17	2477/2477	---MCZ	200	added ('OK')	application/javascript	etag:W/%223a8577aec378f5127c1f177c2221c2e6%22	https://userapp.zyrosite.com/v21/js/chunk-2d0b3697.2737e5c6.js	/Users/benitoloaiza/websites/omega/userapp.zyrosite.com/v21/js/chunk-2d0b3697.2737e5c6.js	(from https://omegatournaments.zyrosite.com/)
02:12:19	748/748	---MCZ	200	added ('OK')	application/javascript	etag:W/%2224bec071d192b7638e158cd5e85ee2cb%22	https://userapp.zyrosite.com/v21/js/chunk-2d0b384c.abbed528.js	/Users/benitoloaiza/websites/omega/userapp.zyrosite.com/v21/js/chunk-2d0b384c.abbed528.js	(from https://omegatournaments.zyrosite.com/)
02:12:20	510/510	---MCZ	200	added ('OK')	application/javascript	etag:W/%221aa88026acab00996241977a1750f534%22	https://userapp.zyrosite.com/v21/js/chunk-2d0b5969.b1f2150a.js	/Users/benitoloaiza/websites/omega/userapp.zyrosite.com/v21/js/chunk-2d0b5969.b1f2150a.js	(from https://omegatournaments.zyrosite.com/)
02:12:20	665/665	---MCZ	200	added ('OK')	application/javascript	etag:W/%221c95f765f87761089d04a3f48ca04c26%22	https://userapp.zyrosite.com/v21/js/chunk-2d0b5d48.4cf37d0e.js	/Users/benitoloaiza/websites/omega/userapp.zyrosite.com/v21/js/chunk-2d0b5d48.4cf37d0e.js	(from https://omegatournaments.zyrosite.com/)
02:12:21	878/878	---MCZ	200	added ('OK')	application/javascript	etag:W/%22489645a0fbb445664ff7070da425a0fb%22	https://userapp.zyrosite.com/v21/js/chunk-2d0b5fe5.89f47798.js	/Users/benitoloaiza/websites/omega/userapp.zyrosite.com/v21/js/chunk-2d0b5fe5.89f47798.js	(from https://omegatournaments.zyrosite.com/)
02:12:22	515/515	---MCZ	200	added ('OK')	application/javascript	etag:W/%225019b15467f0198082c4b41e4bae8d04%22	https://userapp.zyrosite.com/v21/js/chunk-2d0b64ad.9bbbc283.js	/Users/benitoloaiza/websites/omega/userapp.zyrosite.com/v21/js/chunk-2d0b64ad.9bbbc283.js	(from https://omegatournaments.zyrosite.com/)
02:12:24	8137/8137	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a43fe515886f4e6f7908b6223007eb4b%22	https://userapp.zyrosite.com/v21/js/chunk-2d0b64de.1259fd5d.js	/Users/benitoloaiza/websites/omega/userapp.zyrosite.com/v21/js/chunk-2d0b64de.1259fd5d.js	(from https://omegatournaments.zyrosite.com/)
